,Target Name,"Target, Subunit, Species",Target Mutant/Chimera Details,Target Species (Bioactivity),Substance Action on Target,Substance Effect,Bioassay Category,Bioassay Name,Bioassay Details,Biological Species/NCBI ID,Medchem: Measurement Parameter,Unit,Qualitative value,Quantitative value,References,Canomical_Smiles,pChEMBL
2266,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,In vitro inhibitory concentration of the compound against Anaplastic lymphoma kinase (ALK) autophosphorylation expressed in human KARPAS-299 cell line; Range = 0.01 to 1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/80393; (2005); A1;,c1ccc(-n2ccc3cnc(Nc4ccc5nc[nH]c5c4)nc32)nc1,0
2264,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,In vitro inhibitory concentration of the compound against Anaplastic lymphoma kinase (ALK) autophosphorylation expressed in human KARPAS-299 cell line; Range = 0.01 to 1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/80393; (2005); A1;,c1ccc(-n2ccc3cnc(Nc4ccc5c(c4)NCC5)nc32)nc1,0
2276,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,Inhibitory activity against human Nucleophosmin-ALK (NPM-ALK) mediated proliferation of KARPAS-299 cells upon incubation for 2 days at RT with compound dissolved in 1 DMSO; Range is 0.001-1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; US2007/225306; (2007); A1;,COc1ccc(C)c(Nc2ncc3ccn(-c4ccc(C(=O)O)nc4)c3n2)c1,0
2263,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,In vitro inhibitory concentration of the compound against Anaplastic lymphoma kinase (ALK) autophosphorylation expressed in human KARPAS-299 cell line; Range = 0.01 to 1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/80393; (2005); A1;,COc1cc(N2CCS(=O)(=O)CC2)ccc1Nc1ncc2ccn(-c3ccccn3)c2n1,0
2262,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,In vitro inhibitory concentration of the compound against Anaplastic lymphoma kinase (ALK) autophosphorylation expressed in human KARPAS-299 cell line; Range = 0.01 to 1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/80393; (2005); A1;,COc1cc(N2CCSCC2)ccc1Nc1ncc2ccn(-c3ccccn3)c2n1,0
2261,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,In vitro inhibitory concentration of the compound against Anaplastic lymphoma kinase (ALK) autophosphorylation expressed in human KARPAS-299 cell line; Range = 0.01 to 1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/80393; (2005); A1;,Cc1ccc(N2CCOCC2)cc1Nc1ncc2ccn(-c3ccccn3)c2n1,0
2260,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,In vitro inhibitory concentration of the compound against Anaplastic lymphoma kinase (ALK) autophosphorylation expressed in human KARPAS-299 cell line; Range = 0.01 to 1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/80393; (2005); A1;,COc1cc(Nc2ncc3c(Cl)cn(-c4ccc(C(=O)O)cc4)c3n2)cc(OC)c1OC,0
2259,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,In vitro inhibitory concentration of the compound against Anaplastic lymphoma kinase (ALK) autophosphorylation expressed in human KARPAS-299 cell line; Range = 0.01 to 1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/80393; (2005); A1;,c1ccc(-n2ccc3cnc(Nc4ccc5cc[nH]c5c4)nc32)nc1,0
2258,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,In vitro inhibitory concentration of the compound against Anaplastic lymphoma kinase (ALK) autophosphorylation expressed in human KARPAS-299 cell line; Range = 0.01 to 1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/80393; (2005); A1;,CCCNS(=O)(=O)c1cccnc1-n1ccc2cnc(Nc3cc(OC)ccc3C)nc21,0
414,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in murine BaF3 cells upon incubation with DMSO dissolved compound for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21457; (2006); A3;,COc1ccccc1Nc1ncc(Cl)c(Nc2ccc(N3CCC(N4CCCCC4)CC3)c3c2C(=O)N(C)C3)n1,0
659,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,In vitro inhibitory concentration of the compound against Anaplastic lymphoma kinase (ALK) autophosphorylation expressed in human KARPAS-299 cell line; Range = 0.01 to 1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/80393; (2005); A1;,COC(=O)CNC(=O)Cc1cccc(-n2ccc3cnc(Nc4cc(OC)c(OC)c(OC)c4)nc32)c1,0
2288,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,Inhibitory activity against human Nucleophosmin-ALK (NPM-ALK) mediated proliferation of KARPAS-299 cells upon incubation for 2 days at RT with compound dissolved in 1 DMSO; Range is 0.001-1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; US2007/225306; (2007); A1;,COc1cc(Nc2ncc3ccn(-c4cccc(C(=O)NCC#N)c4)c3n2)cc(OC)c1OC,0
662,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,In vitro inhibitory concentration of the compound against Anaplastic lymphoma kinase (ALK) autophosphorylation expressed in human KARPAS-299 cell line; Range = 0.01 to 1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/80393; (2005); A1;,COc1cc(Nc2ncc3ccn(-c4cccc(C(=O)NC5CCCC5)c4)c3n2)cc(OC)c1OC,0
2287,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,Inhibitory activity against human Nucleophosmin-ALK (NPM-ALK) mediated proliferation of murine Ba/F3 cells upon incubation for 2 days at RT with the compound dissolved in 1 DMSO; Range is 0.01 - 1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; US2007/225306; (2007); A1;,COc1cc(Nc2ncc3ccn(-c4cccc(C(=O)NCCC#N)c4)c3n2)cc(OC)c1OC,0
2278,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,Inhibitory activity against human Nucleophosmin-ALK (NPM-ALK) mediated proliferation of KARPAS-299 cells upon incubation for 2 days at RT with compound dissolved in 1 DMSO; Range is 0.001-1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; US2007/225306; (2007); A1;,Cc1ccc([N+](=O)O)cc1Nc1ncc2ccn(-c3ccccn3)c2n1,0
2285,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,Inhibitory activity against human Nucleophosmin-ALK (NPM-ALK) mediated proliferation of murine Ba/F3 cells upon incubation for 2 days at RT with the compound dissolved in 1 DMSO; Range is 0.01 - 1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; US2007/225306; (2007); A1;,COc1cc(Nc2ncc3ccn(-c4ccc5c(c4)CC(=O)CC5)c3n2)cc(OC)c1OC,0
2283,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,Inhibitory activity against human Nucleophosmin-ALK (NPM-ALK) mediated proliferation of murine Ba/F3 cells upon incubation for 2 days at RT with the compound dissolved in 1 DMSO; Range is 0.01 - 1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; US2007/225306; (2007); A1;,COc1cc(Nc2ncc3ccn(-c4cccc(CCC(=O)NCN)c4)c3n2)cc(OC)c1OC,0
2281,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,Inhibitory activity against human Nucleophosmin-ALK (NPM-ALK) mediated proliferation of murine Ba/F3 cells upon incubation for 2 days at RT with the compound dissolved in 1 DMSO; Range is 0.01 - 1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; US2007/225306; (2007); A1;,COc1cc(Nc2ncc3c(C(=O)O)cn(-c4ccccn4)c3n2)cc(OC)c1OC,0
764,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1cc(Nc2nccc(Nc3cccc(S(N)(=O)=O)c3)n2)cc(OC)c1OC,0
737,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in murine BaF3 cells upon incubation with DMSO dissolved compound for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21457; (2006); A3;,COc1cc(N2CCC(O)CC2)ccc1Nc1ncc(Cl)c(Nc2ccc(N3CCN(C(C)C)CC3)c3c2C(=O)N(C)C3)n1,0
1159,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing murine BaF3 cells upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1cc(Nc2nccc(Nc3ccccc3C(=O)O)n2)cc(OC)c1OC,0
1124,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,NS(=O)(=O)c1ccccc1Nc1ccnc(Nc2ccc3cc[nH]c3c2)n1,0
1122,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1cccc(Nc2nccc(Nc3cccc(OC)c3S(N)(=O)=O)n2)c1,0
1120,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,NS(=O)(=O)c1cccc(Nc2ccnc(Nc3ccc4cn[nH]c4c3)n2)c1,0
1118,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1cc(Nc2nccc(Nc3cccc(O)c3)n2)cc(OC)c1OC,0
1116,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1cc(Nc2nccc(Nc3ccc(CCO)cc3)n2)cc(OC)c1,0
1114,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1ccc(Nc2nccc(Nc3ccc(C)cc3S(N)(=O)=O)n2)cc1,0
1112,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1ccc(Nc2ccnc(Nc3ccc(OC)c(O)c3)n2)cc1O,0
1110,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1cc(Nc2nccc(Nc3ccccc3S(N)(=O)=O)n2)cc(OC)c1,0
1108,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1cc(Nc2nccc(Nc3cccc(S(N)(=O)=O)c3)n2)cc(OC)c1,0
1106,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1cc(Nc2nccc(Nc3ccc(S(N)(=O)=O)cc3)n2)cc(OC)c1,0
1104,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cccc(C)c2)ncc1Br,0
1102,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(C)cc2)ncc1Br,0
1100,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1cc(Nc2nccc(Nc3ccccc3O)n2)cc(OC)c1OC,0
1098,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,O=C(O)c1ccccc1Nc1ccnc(Nc2cccc(CO)c2)n1,0
1096,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,c1ccc(Nc2nccc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,0
1125,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing murine BaF3 cells upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,CN1CCCC1Oc1cccc(Nc2nccc(Nc3cccc(O)c3)n2)c1,0
1127,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing murine BaF3 cells upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,CNS(=O)(=O)c1ccccc1Nc1ccnc(Nc2ccc3cn[nH]c3c2)n1,0
1144,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,NS(=O)(=O)c1cccc(Nc2ccnc(Nc3ccc4[nH]ncc4c3)n2)c1,0
1157,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing murine BaF3 cells upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1ccc(Nc2ccnc(Nc3cc(OC)c(OC)c(OC)c3)n2)cc1O,0
1156,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cccc(N(C)C)c2)ncc1Br,0
1154,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(OC(C)C)cc2)ncc1Br,0
1152,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,Oc1ccccc1Nc1ccnc(Nc2cccc(OCCn3cncn3)c2)n1,0
1150,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1ccc(Nc2nccc(Nc3cccc(OC)c3S(N)(=O)=O)n2)cc1,0
1148,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1ccc(Nc2nccc(Nc3ccccc3O)n2)cc1OCCO,0
1146,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1cc(Nc2nccc(Nc3ccccc3CO)n2)cc(OC)c1OC,0
1141,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing murine BaF3 cells upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,CNS(=O)(=O)c1ccccc1Nc1ccnc(Nc2ccc3[nH]ncc3c2)n1,0
1140,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,Oc1cccc(Nc2ccnc(Nc3cccc(OCCn4ccnc4)c3)n2)c1,0
1138,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1ccc(Nc2nccc(Nc3cccc(O)c3)n2)cc1OCCO,0
